===标题===
Ben Horowitz 办新学校：AI 时代，18 岁是最好的时代
===导语===
A16Z 创始人 Ben Horowitz 与 Horowitz Andreessen Academy CEO Gagan Biani 解释为什么要为 AI 时代重新设计一所学校：项目制学习、旧金山做校园、客户是学生。
===正文##
A16Z 今天宣布了一件新事：**Horowitz Andreessen Academy(HAA)**,一所为 AI 时代从头设计的新学校。说这话的人之一是 Ben Horowitz——A16Z 的联合创始人、《创业维艰》的作者；另一位是 Gagan Biani,这所学院的 CEO 兼联合创始人，此前联合创办过 Udemy 和 Maven。这一集就是他们向主持人介绍：为什么现在办这所学校、它到底怎么教、以及为什么 Ben 说「这可能是历史上当 18 岁年轻人最好的时期之一」。

## 大学为什么值得被重新做一遍

Ben 的出发点是一个观察：大学对想当学者的人非常好用，但对一个「只想找工作或有创业想法」的 18 岁年轻人来说，是个奇怪的命题——巨大的金钱和时间投入，而大学里发生的大部分事与此无关。可如果你问 18 岁的孩子为什么上大学，答案通常就是「为了找工作」，而这个目的并不总能达成 [02:13 Ben Horowitz]。

另一头是招聘方的感受：Gagan 说，技术行业所需的技能组合变化太快了，像大学这么庞大的系统很难跟上；而 A16Z 恰好投资了 1600 家公司，「我们确切地知道你需要学什么、你必须具备哪些技能」[03:26]。

至于为什么过去很多教育创新都没成，Gagan 的判断是：他们做得太窄了。大学其实是一个「捆绑包」——几十种东西的组合，包括教育、地位、凭证、品牌、社交，还得有趣。「太多玩家要么只聚焦在学习这件事上，要么只聚焦在某种混合模式上，而没有打造出那个真正有竞争力的价值主张的捆绑包」[05:07 Gagan]。HAA 虽然不授予学位，但要交付一个「与大学相当的体验」：人际社交、在旧金山有住宿、与雇佣最优秀人才的公司相连接——他说过去 50 年里大概只有两三个人尝试过交付这个完整的包。

## 为什么是现在：AI 革命对上工业时代的训练体系

Ben 给了一个历史视角：大学体系最初是宗教机构，工业革命之后才在美国爆发式增长——因为突然间每个人都要识字、会算数才能进入企业世界。「1700 年是没有企业世界的，那是一个农场的世界。」今天的美国在很大程度上就是建立在这些伟大大学之上的 [06:37 Ben Horowitz]。

而现在到来的是 AI 革命——在他看来，它对工作方式、岗位种类的冲击，会和工业革命对农业社会的冲击一样大。「认为为工业革命所做的训练能完美映射到 AI 革命，这种想法很可能并不成立。所以需要有一个开拓者来指出道路：你如何把一个人训练进新世界？」[08:04 Ben Horowitz]

具体教法上也会不同：与其每天听五到八小时讲座，不如更集中的教学 + 更多时间动手用工具 + 按自己的节奏借助 AI 学习，再加上更多有组织的社交活动——反正省下了坐在教室里的时间。

## 「这可能是历史上当 18 岁最好的时候」

Ben 说如果他今天是 18 岁会非常激动：「你将在非常年轻的年纪进入职场，比拥有三四十年经验的人更有能力。」通常你需要在公司里爬二十年梯子来建立地位和信誉，而现在你一出来就能用新工具解决几乎任何问题 [12:42 Ben Horowitz]。「我们的问题用完了吗？好像我读到的全是问题——现在你可以走出去，直接进攻它们。」

他用自己的家族史来类比：祖父的父亲从俄国逃难到美国，在血汗工厂里睡在缝纫机底下；祖父一代上了纽约城市学院当老师；父亲那一代又好得多。「今天的年轻人回看我们和他们的父母，会觉得你们都睡在缝纫机底下。」——但他提醒：要站在历史的正确一边，面向未来，因为「过去会淡去得很快，比我们习惯的快得多」[14:39 Ben Horowitz]。

不过 Ben 也承认，有「十亿美元级想法」的年轻人是罕见的扎克伯格式机会，大多数人不具备——他自己 18 岁也没有好想法。所以对多数人，更好的路径是加入正在做伟大事情的人或公司：他年轻时进了 Silicon Graphics,在那里亲眼看到创新是怎么改变世界的，「那为我职业生涯的其余部分打下了基础」[17:00 Ben Horowitz]。

## 人际技能没法在课堂教，只能在事上学

这是 Ben 讲得最用力的一段。他认为 AI 的一个潜力是把人从屏幕前解放出来——「我跟我的 AI 谈谈，让他去干活、去应付那个烦人的电脑，这样我就能腾出精力去真正与人打交道，那里面会有巨大的价值」[17:49 Ben Horowitz]。

怎么教人际技能？Gagan 说核心原则是「潜移默化」：把学生浸泡在真实的社交环境里。大学的一个缺陷是你基本只和同年级的人互动；HAA 要让学生与「成人世界」的公司、项目、实习共处同一办公室。他举了个很具体的例子：你想造一种新型机器狗，唯一路径是搞到一种特定芯片，而你不会写冷邮件——「你就必须去学，而且你身边全是这方面专长的人」[20:38 Gagan]。硅谷的耳濡目染 + 互相支持的同伴网络 + 项目制课程，三者叠加会极大加速技能发展；而坐在讲座里听人讲谈判技巧，是学不会人际技能的。

Ben 补充了最缺失的一项基本功：真正去了解你在跟谁说话——对方在哪长大、父母来自哪、怎么相处的——而不是停留在寒暄。这在学校里是本能，在商业场景里却最常缺位 [18:56 Ben Horowitz]。

至于管理自己的心理这种「内在功课」，Ben 的答案很直接：读遍所有教橄榄球的书，也教不会你在 NFL 打四分卫时怎么应对一个 300 磅的怪物冲过来。「你真的必须亲身去做才能学会。」学院能提供的是利害较小的练习场：组队、做决策、体会犹豫的代价、不解决冲突的后果，「直到你知道那种糟糕的感觉」[35:47 Ben Horowitz]。

## 旧金山就是校园

选址旧金山不是情怀。Ben 的理由很实际：美国大多数伟大公司在这里起步，知道怎么做的人、做过的人绝大多数在加州；A16Z 有联系的公司超过 80% 就在这个地区，「你来到这里、熟悉这片地区，然后直接在这里开启你的职业生涯」[24:38 Ben Horowitz]。他自己在纽约上大学，毕业生大多进了金融业——因为那就是当地主要雇主。

Gagan 加了一层文化论证：旧金山拥抱失败(「事情没做成，我们仍然会投资你的下一家公司」)，硅谷是少见的正和博弈之地——帮助别人不求回报、相信善意会绕回来，一种超高信任的文化。平静、安全、积极，同时又极具雄心，「这是一种罕见的组合」[25:32 Gagan]。

## 客户必须是学生：为什么要营利性、为什么要独立

HAA 做成独立公司而非 A16Z 内部项目，Ben 的理由：A16Z 带来的独特价值是与科技圈几乎每个机会的连接(表现好的毕业生会有大量机会)，但这是学院自己的想法，不是投资标的；而且这个模式未必限于科技——音乐、医学都可能适用，每个行业都在经历巨变，它需要能自由生长。「我们在这里可不是要限制雄心的。」[28:10 Ben Horowitz]

营利性则是为了对齐激励。Ben 说得毫不遮掩：「我们不在乎服务校友、捐赠人或家长，这关系到的是年轻人。」[29:42 Ben Horowitz] Gagan 接上：盈利动机迫使我们向客户交付成果——学生的成就会创造品牌、创造让学院持续经营的飞轮，「这在教育领域非常独特」。

好奇心是另一条核心原则：从「往桶里装水」的推模式转向「点燃一团火」的拉模式。Ben 用说唱做例子——这个兴趣当年看不出有什么用，但让他成了更好的讲故事的人，「这是我工作中很关键的一部分」。Gagan 说，学生的每一项兴趣都会被重新框定成「用它做点什么」：学书法就学到能漂亮地写出一首诗并展示出来，而不是为考试背知识点 [33:47 Gagan]。

关于 AI 进课堂，Ben 转述了斯坦福密码学教授 Dan Boneh(转写稿写作 Dan Bonet)的两难解法：禁止 AI 行不通，那就把问题设计得难到「没有 AI 就无法解决」——他的学生正在解决历史上没有任何学生能解决的问题 [32:11 Ben Horowitz]。学院的态度由此而来：评价标准不是「你能不能背下这些题」，而是「你构建了什么有趣的东西」。「你想成为主角吗？我们帮你做到。如果你想当机器上的一个齿轮，这里不适合你。」[33:10 Ben Horowitz]

## 怎么选值得做的事，以及怎么看失败

工具太好、资源太好，做成一件事比以往容易，所以真正的约束是「什么值得做」。Ben 的建议：从你的兴趣、技能匹配、和你真正了解的问题出发——疾病、环境、选举系统公正性，到处是需要进攻的问题。而且创业像科学发现：你想治胰腺癌，路上撞见另一个难题，那个难题反而成了你的点子。「所以我相信，对还没有十亿美元点子的年轻人来说，关键是不要将就于百万美元的点子，而是去探索更多。」[38:48 Ben Horowitz]

对失败的态度也做了精确限定：硅谷拥抱的不是所有失败，而是「学到大量东西的失败」——你通过尝试解决一个难题而赚得了一个秘密(知道它为什么难)，然后才有资格问：子问题是什么？能解决其中之一吗？「这种通过失败赚来的知识才是我们看重的。」[39:50 Ben Horowitz]

五年后的成功标准，Ben 列了两条：毕业生拥有热爱的事业或创办了真正有趣的公司；学院自己也学会了什么真正有效，能扩展到更多不同类型的学生——包括创作者。他提到创意界朋友现在的状态：「我有一个想传达的感觉，现在我可以用每一种媒介实现它——能拍长片、能做歌、能配乐。一切皆有可能。」[41:16 Ben Horowitz]

## 本集带走

- **AI 时代的教育需要重新设计，而不是修补**：为工业革命设计的训练体系无法完美映射到 AI 革命，总得有人先趟出「怎么把人训练进新世界」这条路。
- **教育创新失败多为「包」没做全**：不能只做学习或只做 credential,要同时交付教育、品牌信号、社交和乐趣，才有真正有竞争力的价值主张。
- **人际技能只能浸泡式习得**：让学生与真实公司、真实成人世界共处，让他们为了做成在乎的事而被迫学会写冷邮件、组队、谈判——课堂讲座教不会。
- **客户是学生、激励对齐**：学院靠毕业生的成就建立品牌飞轮，不服务校友、捐赠人、家长——这简化了整个问题。
- **还没有十亿美元想法，就别将就于百万美元想法**：去探索更多，创业点子往往在解决一个难题的路上偶然撞见。
- **有价值的失败 = 赚得一个秘密**：尝试难题而失败后，你知道它为什么难，才有子问题和相关问题的下一步。
- **用 AI 抬高问题难度，而不是禁止 AI**:难题设计到「没有 AI 解不了」，学生就能解决历史上没人解决过的问题。

===金句===
00:00 | Ben Horowitz
EN | This should be the greatest time in the history of humanity to be young.
ZH | 这应该是人类历史上做年轻人最棒的时代。

00:19 | Ben Horowitz
EN | But the challenge that we have is everything that we've built to train you was built for a world that is soon to no longer exist.
ZH | 但我们面临的挑战是，我们为训练你们所建立的一切，都是为一个即将不复存在的世界而建立的。

00:28 | Ben Horowitz
EN | It's critical for young people who don't have that billion dollar idea to not settle for the million dollar idea and instead go and explore more.
ZH | 对那些还没有十亿美元点子的年轻人来说，关键是不要将就于百万美元的点子，而是去探索更多。

05:07 | Gagan Biani
EN | I'll take a stab by saying, I think they focus a little bit too narrow.
ZH | 我来说说我的看法：我认为他们聚焦得有点太窄了。

05:30 | Gagan Biani
EN | And I think too many players just focus either just on the learning thing or just on some other hybrid and don't create the bundle that is the value prop that is truly, truly competitive.
ZH | 我认为太多玩家要么只聚焦在学习这件事上，要么只聚焦在某种混合模式上，而没有打造出那个真正真正有竞争力的价值主张的捆绑包。

06:26 | Ben Horowitz
EN | And the same thing with technology, which is, oh, you want to be a technologist? Let's learn how to build a system.
ZH | 技术领域也一样：哦，你想成为技术专家？那我们来学怎么构建一个系统。

08:14 | Ben Horowitz
EN | So there kind of needs to be a pioneer that shows the way, like, how do you train somebody into the new world?
ZH | 所以需要有一个开拓者来指出道路，比如，你如何把一个人训练进新世界？

10:07 | Gagan Biani
EN | You need a very, very unique, specific customer who has a burning desire for your product.
ZH | 你需要一个非常非常独特、具体的客户，他们对你的产品有迫切的渴望。

12:03 | Ben Horowitz
EN | I think it is like one of the best times in history to be 18.
ZH | 我认为这是历史上当 18 岁的年轻人最好的时期之一。

12:42 | Ben Horowitz
EN | So you're going to go in at a very young age being more capable than people with 30, 40 years of experience.
ZH | 所以你将在非常年轻的年纪进入，比拥有三四十年经验的人更有能力。

13:05 | Ben Horowitz
EN | It's like, well, are we out of problems? It seems like we have, all I read about is problems.
ZH | 就像，问题是，我们的问题用完了吗？好像我读到的全都是问题。

17:49 | Ben Horowitz
EN | I think one of the things that AI has the potential is just like get us off of the screen, right?
ZH | 我认为 AI 的潜力之一就是让我们从屏幕前解放出来，对吧？

19:45 | Gagan Biani
EN | And one of the core tenets of developing a skill like that is osmosis. You need to immerse the student in the social environment in which the humans are.
ZH | 培养这类技能的核心原则之一就是潜移默化。你需要让学生浸润在有人类存在的社交环境中。

21:17 | Gagan Biani
EN | Like, that's not how you develop people skills. You develop people skills because you're doing something you really care about and you need to get everyone on board.
ZH | 那不是培养人际技能的方式。你培养出人际技能，是因为你在做你真正在乎的事情，而你需要让所有人都参与进来。

25:11 | Gagan Biani
EN | If things don't work out, we'll still fund your next company.
ZH | 即使事情没做成，我们仍然会投资你的下一家公司。

29:23 | Ben Horowitz
EN | It's like, no, please copy us. Please, Harvard, copy us.
ZH | 而是，不，请复制我们。拜托，哈佛，复制我们。

29:51 | Ben Horowitz
EN | We don't care about serving the alumni or serving the donors or serving the parents. This is about the young people.
ZH | 我们不在乎服务校友，也不在乎服务捐赠人或家长。这关系到的是年轻人。

30:01 | Gagan Biani
EN | Yeah, the profit motive forces us to deliver to the customer.
ZH | 是的，盈利动机迫使我们向客户交付成果。

33:14 | Ben Horowitz
EN | If you want to be a main character, like, we help you do that. If you want to be a cog in a machine, then this is not going to be the best place for you.
ZH | 如果你想成为主角，我们帮你做到。如果你想当机器上的一个齿轮，那这里不会是最适合你的地方。

35:47 | Ben Horowitz
EN | You can read every book ever written on how to play football, but like if you get into an NFL game and you're playing quarterback, like nothing in a book is going to teach you to deal with like somebody, some 300 pound monster rushing at you while you're trying to like figure out who to throw the ball to.
ZH | 你可以读遍所有关于如何打橄榄球的书，但如果你进入一场 NFL 比赛并且你在打四分卫，书里没有任何东西能教会你如何应对某个 300 磅的怪物朝你冲过来、而你还正在试图搞清楚该把球传给谁。

39:50 | Ben Horowitz
EN | And that knowledge that you earn by failing is what we value here.
ZH | 这种通过失败赚来的知识才是我们这里看重的。

===END===
